Category: All categories

Region,self-injury: (2013)
West Virginia,
North Dakota,
New Hampshire,
Mississippi,
Maryland,
Connecticut,
Hawaii,
Kentucky,
Wisconsin,
Iowa,
Massachusetts,100
North Carolina,100
Indiana,
Virginia,66
Nevada,
Pennsylvania,66
South Carolina,
Colorado,
District of Columbia,
Illinois,33
Oklahoma,
Florida,33
Washington,
New Jersey,
Missouri,
Ohio,
Michigan,
Texas,33
New York,33
California,33
Oregon,
Minnesota,
Georgia,
Alaska,
Alabama,
Arkansas,
Arizona,
Delaware,
Idaho,
Kansas,
Louisiana,
Maine,
Montana,
Nebraska,
New Mexico,
Rhode Island,
South Dakota,
Tennessee,
Utah,
Vermont,
Wyoming,
