Category: All categories

Region,self-injury: (2012)
South Dakota,
Oklahoma,
West Virginia,
South Carolina,
New Hampshire,
Massachusetts,100
Arkansas,
Iowa,
Pennsylvania,60
Kentucky,
Maryland,
North Carolina,60
Oregon,
Wisconsin,
Alabama,
Indiana,
Michigan,
Washington,
District of Columbia,
Ohio,
California,40
Illinois,40
Colorado,
Florida,40
Missouri,
Arizona,
New York,20
New Jersey,
Minnesota,
Tennessee,
Texas,20
Connecticut,
Alaska,
Delaware,
Georgia,
Hawaii,
Idaho,
Kansas,
Louisiana,
Maine,
Mississippi,
Montana,
North Dakota,
Nebraska,
New Mexico,
Nevada,
Rhode Island,
Utah,
Virginia,
Vermont,
Wyoming,
