Category: All categories

Region,self-injury: (2004)
Wyoming,
Montana,
North Dakota,
New Mexico,
Idaho,
Louisiana,
Wisconsin,
Iowa,
Indiana,
Oklahoma,
Colorado,
Pennsylvania,100
Maryland,
Ohio,
Washington,
Connecticut,
Georgia,
Missouri,
Virginia,50
Minnesota,
Massachusetts,47
New Jersey,
Michigan,
New York,38
California,32
Illinois,26
Texas,26
Alaska,
Alabama,
Arkansas,
Arizona,
District of Columbia,
Delaware,
Florida,
Hawaii,
Kansas,
Kentucky,
Maine,
Mississippi,
North Carolina,
Nebraska,
New Hampshire,
Nevada,
Oregon,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Utah,
Vermont,
West Virginia,
