Category: All categories

Region,miss my ex: (2013)
Kentucky,100
Nevada,100
West Virginia,
Mississippi,
California,100
Maryland,100
District of Columbia,
New York,90
Michigan,90
Arizona,85
New Jersey,85
Tennessee,80
Maine,
Florida,80
Virginia,80
Georgia,80
Illinois,80
Massachusetts,80
North Dakota,
Texas,75
South Dakota,
Pennsylvania,75
Missouri,75
Louisiana,75
Indiana,70
Alabama,70
New Mexico,
Washington,70
Connecticut,70
Hawaii,
North Carolina,65
Iowa,65
Kansas,
Oklahoma,
Minnesota,55
Wisconsin,55
Colorado,50
Ohio,50
Idaho,
Arkansas,
Utah,
Rhode Island,
South Carolina,30
Oregon,30
Nebraska,
New Hampshire,
Alaska,
Delaware,
Montana,
Vermont,
Wyoming,
