Category: All categories

Region,miss my ex: (2016)
Wyoming,
Nevada,100
Kentucky,95
Massachusetts,90
California,90
New York,90
Mississippi,
Idaho,
Illinois,85
Rhode Island,
Michigan,80
New Hampshire,
Minnesota,80
Georgia,80
Virginia,80
Indiana,80
New Mexico,
New Jersey,80
Tennessee,80
Florida,80
Ohio,80
Maryland,76
Hawaii,
Delaware,
Pennsylvania,76
Missouri,76
Colorado,76
West Virginia,
Maine,
Texas,71
Louisiana,71
District of Columbia,
Connecticut,66
Utah,
South Carolina,61
North Carolina,61
South Dakota,
Arkansas,
Iowa,57
Washington,57
Kansas,
Alabama,52
Oklahoma,
Wisconsin,52
Arizona,52
Alaska,
Oregon,47
Montana,
Nebraska,
North Dakota,
Vermont,
