Category: All categories

Region,miss my ex: (2019)
New Mexico,
West Virginia,
New Hampshire,
Nevada,100
Louisiana,94
Oklahoma,
New York,88
Kansas,
Kentucky,88
Virginia,88
California,88
New Jersey,88
Massachusetts,88
Pennsylvania,88
Tennessee,83
Washington,83
Rhode Island,
Arizona,83
Illinois,83
Nebraska,
Texas,77
Georgia,77
Ohio,77
Florida,72
North Carolina,72
Maryland,72
Arkansas,
Connecticut,72
Hawaii,
Michigan,66
Mississippi,
Colorado,66
Vermont,
Alaska,
Iowa,61
Indiana,61
Missouri,61
Wisconsin,61
Alabama,61
Utah,
Oregon,55
Maine,
Minnesota,55
South Carolina,55
North Dakota,
Idaho,
District of Columbia,
Montana,
Delaware,
South Dakota,
Wyoming,
