Category: All categories

Region,miss my ex: (2010)
Rhode Island,
Mississippi,
Kansas,
Kentucky,100
Utah,
South Carolina,66
Vermont,
Florida,62
Nebraska,
Wisconsin,45
New Jersey,41
Maryland,41
Texas,41
Missouri,37
North Carolina,37
Pennsylvania,37
New York,37
Minnesota,37
Ohio,33
Georgia,33
Michigan,33
Massachusetts,29
Virginia,29
Illinois,25
California,25
Tennessee,25
Connecticut,25
Washington,20
Indiana,16
Arizona,12
Alaska,
Alabama,
Arkansas,
Colorado,
District of Columbia,
Delaware,
Hawaii,
Iowa,
Idaho,
Louisiana,
Maine,
Montana,
North Dakota,
New Hampshire,
New Mexico,
Nevada,
Oklahoma,
Oregon,
South Dakota,
West Virginia,
Wyoming,
