Category: All categories

Region,miss my ex: (2018)
South Dakota,
North Dakota,
Nevada,100
District of Columbia,
New Mexico,
New York,83
Arkansas,
Maryland,79
Mississippi,
New Jersey,75
Massachusetts,70
Colorado,70
Utah,
Arizona,70
Pennsylvania,70
California,70
Michigan,66
West Virginia,
Louisiana,62
Connecticut,62
Virginia,62
Wisconsin,62
New Hampshire,
North Carolina,62
Missouri,58
Kentucky,58
Delaware,
Illinois,58
South Carolina,58
Florida,58
Iowa,58
Montana,
Washington,54
Georgia,54
Hawaii,
Ohio,54
Texas,54
Tennessee,50
Kansas,
Nebraska,
Rhode Island,
Indiana,50
Alabama,45
Idaho,
Oregon,37
Wyoming,
Oklahoma,
Minnesota,33
Maine,
Alaska,
Vermont,
