Category: All categories

Region,suicidal friend: (2008)
West Virginia,
Wyoming,
Nevada,
Louisiana,
Pennsylvania,100
Colorado,
Michigan,66
Wisconsin,66
Massachusetts,66
Florida,50
New York,50
Minnesota,
District of Columbia,
Texas,16
California,<1
Alaska,
Alabama,
Arkansas,
Arizona,
Connecticut,
Delaware,
Georgia,
Hawaii,
Iowa,
Idaho,
Illinois,
Indiana,
Kansas,
Kentucky,
Maryland,
Maine,
Missouri,
Mississippi,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
New Jersey,
New Mexico,
Ohio,
Oklahoma,
Oregon,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Utah,
Virginia,
Vermont,
Washington,
