Category: All categories

Region,suicidal friend: (2018)
North Dakota,
Idaho,
Washington,100
New Mexico,
Maine,
Oregon,
Utah,
Wisconsin,90
Connecticut,
Nevada,
District of Columbia,
Montana,
Missouri,
Kentucky,
Hawaii,
Arkansas,
Maryland,
Kansas,
Minnesota,
Mississippi,
Illinois,54
Tennessee,
Iowa,
New York,54
Indiana,
Colorado,
Arizona,
West Virginia,
Michigan,54
Ohio,54
California,54
Massachusetts,54
Georgia,45
Pennsylvania,45
Virginia,45
South Carolina,
Oklahoma,
Texas,45
Rhode Island,
New Jersey,45
North Carolina,36
Nebraska,
Alabama,
Florida,36
Louisiana,
Alaska,
Delaware,
New Hampshire,
South Dakota,
Vermont,
Wyoming,
