Category: All categories

Region,suicidal friend: (2021)
Delaware,
Alaska,
District of Columbia,
Hawaii,
Minnesota,
New Mexico,
South Dakota,
Colorado,
Vermont,
Nebraska,
Washington,100
Nevada,
Oregon,
Wisconsin,100
Louisiana,
North Carolina,83
Ohio,83
Connecticut,
Utah,
Kansas,
South Carolina,
Indiana,
Alabama,
Illinois,83
Virginia,83
Arizona,
Maryland,
Idaho,
California,66
New Jersey,66
Texas,66
Michigan,66
New York,66
Tennessee,
Georgia,66
Massachusetts,66
Florida,66
Iowa,
Mississippi,
Arkansas,
Rhode Island,
Oklahoma,
Pennsylvania,50
Kentucky,
Missouri,
Maine,
Montana,
North Dakota,
New Hampshire,
West Virginia,
Wyoming,
