Category: All categories

Region,suicidal friend: (2010)
Alaska,
Connecticut,
Mississippi,
New Mexico,
Kansas,
Utah,
Kentucky,
Massachusetts,100
Missouri,
Louisiana,
South Carolina,
Ohio,87
Maryland,
Minnesota,
Tennessee,
Colorado,
Michigan,37
Illinois,37
New Jersey,37
Texas,37
Wisconsin,37
New York,25
Pennsylvania,25
Washington,25
North Carolina,25
California,25
Florida,12
Virginia,12
Alabama,
Arkansas,
Arizona,
District of Columbia,
Delaware,
Georgia,
Hawaii,
Iowa,
Idaho,
Indiana,
Maine,
Montana,
North Dakota,
Nebraska,
New Hampshire,
Nevada,
Oklahoma,
Oregon,
Rhode Island,
South Dakota,
Vermont,
West Virginia,
Wyoming,
