Category: All categories

Region,suicidal friend: (2016)
Alaska,
Montana,
Wyoming,
Utah,
Vermont,
North Dakota,
Maine,
Oklahoma,
West Virginia,
Idaho,
Iowa,
South Carolina,
New Hampshire,
Washington,100
Massachusetts,100
Ohio,85
Kentucky,
District of Columbia,
Colorado,
Indiana,
Maryland,
Minnesota,
Oregon,
California,71
Pennsylvania,71
Virginia,71
Illinois,71
Tennessee,
Missouri,
Louisiana,
Michigan,57
Wisconsin,57
Arizona,
Kansas,
Florida,57
New York,57
Texas,57
New Mexico,
New Jersey,42
North Carolina,42
Mississippi,
Arkansas,
Nebraska,
Georgia,28
Alabama,
Connecticut,
Nevada,
Delaware,
Hawaii,
Rhode Island,
South Dakota,
