Category: All categories

Region,smoking: (2020)
Nebraska,100
West Virginia,97
Michigan,94
Iowa,93
Oklahoma,93
Maine,90
Missouri,89
Tennessee,88
Kentucky,88
Kansas,87
Arkansas,87
Ohio,86
Minnesota,86
Mississippi,84
Wisconsin,83
Colorado,83
Alabama,82
Pennsylvania,81
Indiana,81
Louisiana,81
Wyoming,81
Alaska,81
Nevada,80
South Dakota,80
Illinois,80
Georgia,79
South Carolina,79
Vermont,79
New Hampshire,78
Oregon,77
North Dakota,77
North Carolina,76
Idaho,76
Washington,76
Rhode Island,76
Maryland,76
Virginia,75
Montana,74
Connecticut,73
Texas,73
New Mexico,73
New York,73
Arizona,73
Massachusetts,73
Florida,73
Delaware,68
New Jersey,68
Utah,67
California,66
Hawaii,57
District of Columbia,55
