Category: All categories

Region,smoking: (2004)
Kentucky,100
West Virginia,97
South Dakota,94
Wyoming,83
Maine,81
Nebraska,80
Iowa,78
Minnesota,77
North Dakota,75
Indiana,75
Arkansas,74
Wisconsin,73
Missouri,72
Rhode Island,72
Idaho,70
Oklahoma,69
Michigan,68
South Carolina,68
Kansas,67
Alaska,67
Ohio,67
Connecticut,65
Mississippi,64
Louisiana,63
Tennessee,63
Vermont,63
Illinois,62
New Hampshire,61
Oregon,61
Hawaii,60
Pennsylvania,60
North Carolina,59
Georgia,59
Alabama,59
New York,58
Maryland,58
Virginia,56
New Mexico,56
Nevada,56
New Jersey,54
Colorado,54
District of Columbia,53
Massachusetts,53
Florida,51
Montana,51
Utah,51
Texas,50
Washington,49
Arizona,49
California,49
Delaware,44
