Category: All categories

Region,smoking: (2015)
Wyoming,100
South Carolina,97
Missouri,95
West Virginia,93
Michigan,91
Iowa,91
Indiana,89
Ohio,89
North Dakota,89
Kentucky,88
Louisiana,87
Nebraska,87
Minnesota,87
Vermont,86
New Jersey,86
Georgia,86
Arkansas,86
North Carolina,85
Washington,85
Illinois,85
Alaska,84
Oklahoma,83
Alabama,83
Wisconsin,82
Pennsylvania,82
District of Columbia,82
Colorado,81
Tennessee,81
Mississippi,81
Delaware,80
Massachusetts,79
Rhode Island,78
New Hampshire,78
Montana,77
Nevada,77
South Dakota,77
Connecticut,77
Arizona,76
Maine,76
New York,75
Texas,73
Kansas,73
Maryland,72
Florida,70
California,70
Idaho,69
Hawaii,69
Oregon,63
New Mexico,63
Utah,61
Virginia,55
