Category: All categories

Region,smoking: (2008)
Iowa,100
South Dakota,92
North Dakota,86
Wyoming,86
Kentucky,81
Maine,80
Michigan,80
Pennsylvania,79
Nebraska,78
Arkansas,78
Rhode Island,77
Alaska,77
Illinois,76
Kansas,75
West Virginia,75
Vermont,74
New Hampshire,74
Delaware,74
Wisconsin,74
Ohio,73
New York,73
Indiana,71
Montana,70
Georgia,69
Missouri,69
Minnesota,69
Mississippi,67
Nevada,66
Oklahoma,66
Alabama,66
New Jersey,66
North Carolina,65
Massachusetts,65
Washington,65
Maryland,64
Connecticut,64
Louisiana,64
South Carolina,62
Florida,62
Texas,61
Oregon,61
New Mexico,61
Colorado,61
Tennessee,60
Idaho,60
Hawaii,59
Arizona,56
California,56
District of Columbia,56
Virginia,51
Utah,50
