Category: All categories

Region,smoking: (2014)
Kentucky,100
West Virginia,97
Ohio,95
Missouri,95
Kansas,95
Maine,95
Vermont,94
Arkansas,94
South Dakota,94
Oklahoma,94
Indiana,93
Alabama,91
Massachusetts,91
Nebraska,91
Georgia,90
Pennsylvania,90
Wyoming,90
Colorado,89
Washington,89
Tennessee,89
Iowa,88
Alaska,87
Michigan,87
Wisconsin,86
Nevada,86
South Carolina,86
North Dakota,85
Connecticut,84
Montana,84
Minnesota,83
Mississippi,83
Delaware,82
Illinois,82
Rhode Island,82
New Hampshire,82
New York,82
Louisiana,82
New Jersey,81
Arizona,81
Maryland,80
District of Columbia,79
Hawaii,78
Florida,77
North Carolina,76
Texas,75
New Mexico,75
California,73
Idaho,71
Virginia,63
Utah,60
Oregon,50
