Category: All categories

Region,smoking: (2007)
West Virginia,100
Illinois,95
Michigan,93
Iowa,93
Ohio,92
Delaware,91
South Dakota,90
Kentucky,89
Missouri,88
North Dakota,87
Wisconsin,86
Minnesota,86
New Hampshire,85
Vermont,84
Indiana,84
Kansas,84
Arkansas,83
Wyoming,83
Pennsylvania,82
Maine,82
Nebraska,81
Tennessee,79
Oklahoma,78
New Mexico,78
Alaska,78
New York,77
North Carolina,77
Louisiana,77
Alabama,77
South Carolina,75
New Jersey,74
Montana,73
Virginia,73
Mississippi,72
Rhode Island,71
Idaho,71
Hawaii,71
Maryland,70
Massachusetts,70
Connecticut,70
Washington,69
Nevada,68
Arizona,68
Florida,67
Texas,66
Georgia,65
Oregon,65
Colorado,62
California,59
District of Columbia,58
Utah,56
