Category: All categories

Region,smoking: (2005)
Kentucky,100
South Dakota,87
West Virginia,85
Maine,85
North Dakota,84
Indiana,83
Ohio,82
Wyoming,80
Nebraska,79
Arkansas,76
Illinois,74
Iowa,73
Missouri,73
Wisconsin,72
Oklahoma,71
Louisiana,71
South Carolina,69
Vermont,69
Delaware,69
Pennsylvania,69
Tennessee,68
Alaska,68
Idaho,67
Minnesota,67
Kansas,66
Mississippi,65
Rhode Island,65
Nevada,65
Connecticut,65
Michigan,63
Oregon,63
New Hampshire,62
Florida,62
New York,61
New Mexico,61
Maryland,61
Montana,61
Alabama,60
North Carolina,60
Georgia,59
Washington,59
Texas,59
Colorado,57
District of Columbia,57
New Jersey,56
Arizona,56
Hawaii,54
Massachusetts,52
Virginia,50
California,49
Utah,43
