Category: All categories

Region,smoking: (2011)
Kentucky,100
Wyoming,95
West Virginia,95
Ohio,93
Missouri,91
North Dakota,91
Indiana,90
Vermont,88
Michigan,88
Maine,86
Kansas,86
Iowa,85
Rhode Island,85
Georgia,85
Alaska,84
Pennsylvania,84
South Carolina,84
South Dakota,83
Massachusetts,83
Montana,83
New York,83
Louisiana,82
Texas,81
Delaware,81
New Jersey,81
Arkansas,80
Oklahoma,79
Alabama,78
Washington,78
Illinois,78
Connecticut,78
Virginia,78
Florida,77
North Carolina,77
Wisconsin,77
New Hampshire,77
Oregon,76
Minnesota,75
Tennessee,75
District of Columbia,75
Arizona,74
Maryland,74
Nebraska,73
California,73
Nevada,73
Mississippi,72
Idaho,71
Colorado,70
New Mexico,68
Hawaii,68
Utah,55
