Category: All categories

Region,smoking: (2018)
West Virginia,100
Oklahoma,87
Maine,86
Kentucky,82
Missouri,82
Arkansas,81
Georgia,80
Colorado,80
Illinois,79
Indiana,79
Pennsylvania,79
Tennessee,79
Nebraska,78
New Hampshire,78
Wyoming,78
Michigan,78
Iowa,77
Louisiana,77
Alabama,77
Ohio,77
Kansas,77
Washington,76
Mississippi,76
Alaska,76
South Carolina,76
North Dakota,75
South Dakota,75
Nevada,74
Montana,74
Oregon,73
Arizona,73
Wisconsin,72
Rhode Island,72
Texas,71
Idaho,70
Vermont,70
New York,69
Virginia,69
North Carolina,68
Massachusetts,67
Maryland,67
Connecticut,67
Minnesota,66
New Jersey,66
Delaware,63
Florida,63
California,63
New Mexico,62
Utah,56
Hawaii,55
District of Columbia,47
