Category: All categories

Region,smoking: (2010)
South Dakota,100
West Virginia,89
Michigan,85
North Dakota,83
Wisconsin,80
Ohio,78
Missouri,76
Rhode Island,75
Nebraska,74
Maine,73
Mississippi,72
Indiana,71
Kansas,70
Wyoming,70
New Hampshire,70
Arkansas,70
Kentucky,69
Delaware,69
Iowa,69
New York,68
Connecticut,68
Vermont,68
North Carolina,67
Florida,67
Washington,66
Pennsylvania,66
Colorado,65
Illinois,65
Minnesota,65
Montana,64
Nevada,64
Maryland,63
Oklahoma,63
South Carolina,63
Arizona,62
Louisiana,62
Massachusetts,62
Alaska,61
New Jersey,61
Texas,59
District of Columbia,59
Idaho,59
Tennessee,59
Hawaii,59
Alabama,58
Georgia,57
New Mexico,57
Oregon,55
Utah,49
California,39
Virginia,36
