Category: All categories

Region,smoking: (2009)
South Dakota,100
Wyoming,96
West Virginia,96
North Dakota,94
Rhode Island,92
Michigan,90
Montana,90
Ohio,90
Maine,90
Wisconsin,89
Arkansas,88
Iowa,87
Delaware,87
New Hampshire,86
Alaska,86
Connecticut,86
Missouri,84
Pennsylvania,83
Indiana,82
Mississippi,82
Illinois,82
Nebraska,81
Kentucky,80
Kansas,78
Nevada,77
North Carolina,76
Idaho,76
New York,76
Oklahoma,76
Florida,76
Maryland,75
Vermont,75
Minnesota,74
South Carolina,73
Colorado,73
Massachusetts,73
New Jersey,73
District of Columbia,71
Arizona,70
Texas,70
Washington,70
Louisiana,70
Hawaii,68
New Mexico,68
Oregon,68
Tennessee,67
Georgia,66
Alabama,64
Utah,60
California,52
Virginia,43
