Category: All categories

Region,Borderline personality disorder: (2010)
New Hampshire,100
Wyoming,86
South Dakota,79
Alaska,78
Minnesota,78
Louisiana,75
Maine,73
Iowa,73
Michigan,69
Maryland,68
Utah,67
Rhode Island,66
Oregon,66
Arkansas,66
Massachusetts,65
Kentucky,64
Kansas,64
Wisconsin,64
Connecticut,63
Indiana,63
Missouri,62
Pennsylvania,62
Ohio,62
West Virginia,60
Alabama,59
Arizona,59
Mississippi,58
South Carolina,58
New York,58
New Mexico,58
Idaho,57
Nebraska,57
North Carolina,57
North Dakota,56
Colorado,56
Washington,55
Delaware,55
District of Columbia,54
Tennessee,54
New Jersey,53
Illinois,52
Oklahoma,51
Vermont,47
Texas,46
Georgia,46
Florida,45
Nevada,45
Montana,44
Hawaii,43
California,30
Virginia,26
