Category: All categories

Region,Borderline personality disorder: (2008)
Maine,100
Wyoming,91
New Hampshire,74
Delaware,72
Montana,66
Massachusetts,61
Connecticut,59
Vermont,59
Idaho,59
Kentucky,57
North Dakota,57
Minnesota,57
Oklahoma,56
Colorado,55
Nevada,54
Pennsylvania,54
Maryland,54
South Carolina,54
Kansas,53
Missouri,53
Oregon,52
Wisconsin,52
Arkansas,51
New Mexico,50
Iowa,50
New York,50
Ohio,50
New Jersey,49
Utah,49
Michigan,49
Washington,48
Alaska,48
North Carolina,48
Indiana,48
Louisiana,48
South Dakota,47
West Virginia,47
Alabama,46
Rhode Island,46
Nebraska,45
Illinois,45
Tennessee,45
Hawaii,44
Mississippi,41
Georgia,41
District of Columbia,41
Texas,40
Arizona,38
Florida,37
California,34
Virginia,33
