Category: All categories

Region,Borderline personality disorder: (2012)
Wyoming,100
Idaho,97
New Mexico,95
Maine,91
Rhode Island,91
Vermont,91
New Hampshire,89
Arkansas,89
North Dakota,89
South Dakota,88
Oregon,86
Utah,84
West Virginia,82
South Carolina,81
Connecticut,81
Massachusetts,80
Pennsylvania,80
Iowa,79
Colorado,78
Minnesota,78
Washington,78
Montana,77
Indiana,74
Kansas,74
Missouri,73
Alabama,73
Delaware,71
Michigan,71
North Carolina,71
Wisconsin,70
Tennessee,70
Arizona,70
Louisiana,69
Kentucky,69
New York,69
Oklahoma,68
New Jersey,68
Ohio,67
Maryland,66
Nebraska,65
California,64
Illinois,64
District of Columbia,63
Virginia,63
Mississippi,62
Nevada,59
Alaska,58
Georgia,56
Florida,54
Hawaii,52
Texas,50
