Category: All categories

Region,Borderline personality disorder: (2014)
Maine,100
New Hampshire,99
Utah,96
Idaho,96
South Dakota,94
Minnesota,93
Arkansas,90
Vermont,90
Massachusetts,89
Wyoming,88
Colorado,86
New Mexico,83
Indiana,81
Alaska,80
Washington,79
North Dakota,79
Michigan,78
Iowa,78
Connecticut,77
Ohio,76
New York,75
Missouri,75
Pennsylvania,74
Nebraska,73
Rhode Island,73
Delaware,73
Kentucky,73
Wisconsin,71
Tennessee,71
South Carolina,71
West Virginia,71
New Jersey,70
Maryland,70
Mississippi,70
North Carolina,70
Nevada,69
Alabama,68
Kansas,68
Hawaii,67
Arizona,66
District of Columbia,66
Oklahoma,66
Montana,65
California,63
Illinois,63
Louisiana,62
Georgia,53
Florida,53
Virginia,51
Oregon,50
Texas,49
