Category: All categories

Region,Borderline personality disorder: (2011)
Montana,100
New Hampshire,99
Maine,94
Rhode Island,94
Alaska,93
Idaho,92
Wyoming,89
North Dakota,88
Oregon,87
Vermont,84
Oklahoma,81
Massachusetts,79
South Dakota,79
Indiana,77
Connecticut,76
New Mexico,75
West Virginia,75
Utah,74
Alabama,73
Minnesota,72
Mississippi,71
Pennsylvania,71
Missouri,71
Ohio,70
Colorado,69
Washington,68
South Carolina,68
Nebraska,68
Maryland,68
Kentucky,67
Iowa,67
District of Columbia,67
Michigan,66
Kansas,66
Arkansas,64
New Jersey,64
Tennessee,63
Wisconsin,63
Arizona,63
North Carolina,63
Virginia,62
New York,61
Louisiana,61
Illinois,59
Hawaii,57
Florida,54
Delaware,53
California,52
Georgia,50
Texas,47
Nevada,46
