Category: All categories

Region,Borderline personality disorder: (2006)
Vermont,100
New Mexico,99
North Dakota,77
Alaska,71
Montana,70
Kentucky,68
Minnesota,66
Maine,66
Kansas,64
Hawaii,61
New Hampshire,61
Colorado,60
Massachusetts,59
Oklahoma,59
Connecticut,58
Ohio,58
Pennsylvania,57
Michigan,57
Indiana,57
Utah,57
Oregon,57
New York,56
Mississippi,56
Rhode Island,56
Iowa,55
South Carolina,55
Tennessee,51
Illinois,51
Louisiana,51
Washington,50
Wisconsin,49
Wyoming,49
Missouri,49
Arkansas,48
North Carolina,48
Arizona,47
Delaware,47
Georgia,46
New Jersey,44
Maryland,43
Virginia,42
West Virginia,42
Alabama,41
Texas,41
Idaho,39
Nebraska,39
Nevada,38
Florida,37
California,36
District of Columbia,35
South Dakota,
