Category: All categories

Region,Borderline personality disorder: (2013)
Vermont,100
Montana,91
Maine,89
New Hampshire,87
North Dakota,82
West Virginia,81
South Dakota,80
Arkansas,79
Indiana,78
Connecticut,78
Rhode Island,76
Massachusetts,76
New York,76
Colorado,76
Minnesota,75
Delaware,75
Washington,75
Mississippi,75
South Carolina,74
Wyoming,74
Missouri,73
Utah,72
Kentucky,72
Pennsylvania,71
Oklahoma,70
New Mexico,69
Tennessee,68
Wisconsin,68
Idaho,67
New Jersey,67
Alaska,67
North Carolina,67
Nebraska,66
Michigan,65
Ohio,65
Arizona,65
Kansas,65
Nevada,64
Virginia,63
Maryland,63
Iowa,63
California,62
Louisiana,62
District of Columbia,62
Alabama,62
Illinois,58
Texas,53
Georgia,52
Oregon,52
Hawaii,52
Florida,50
