Category: All categories

Region,Borderline personality disorder: (2009)
New Hampshire,100
Maine,99
Montana,90
Minnesota,80
Rhode Island,80
Indiana,79
Connecticut,79
Delaware,78
Idaho,77
Massachusetts,74
Utah,73
Oregon,72
South Carolina,71
North Carolina,70
Maryland,69
Kentucky,69
New Mexico,67
Colorado,67
Iowa,67
Washington,67
West Virginia,67
South Dakota,66
North Dakota,66
New York,65
Pennsylvania,64
Mississippi,63
Alabama,61
Missouri,61
Wyoming,60
Ohio,60
Michigan,60
Louisiana,60
Oklahoma,60
New Jersey,58
Kansas,58
Arizona,56
Tennessee,56
Illinois,55
Vermont,55
Georgia,54
Arkansas,54
District of Columbia,53
Nevada,51
Nebraska,51
Alaska,50
Florida,49
Wisconsin,48
Texas,48
Hawaii,48
California,39
Virginia,32
