Category: All categories

Region,Borderline personality disorder: (2021)
Vermont,100
New Hampshire,87
Utah,83
Maine,83
Wyoming,83
Idaho,81
Oregon,79
North Dakota,74
Minnesota,72
Colorado,72
Kansas,71
Missouri,71
Alaska,70
Iowa,68
Montana,68
Rhode Island,67
West Virginia,67
Connecticut,67
Oklahoma,66
Massachusetts,66
Indiana,66
Michigan,65
Washington,64
South Dakota,64
Kentucky,64
Wisconsin,62
Arizona,61
Arkansas,60
Nebraska,59
Virginia,57
California,57
New York,56
Pennsylvania,55
Ohio,55
Maryland,55
Mississippi,55
Tennessee,54
South Carolina,54
Delaware,54
District of Columbia,53
New Mexico,53
Louisiana,52
Illinois,52
North Carolina,49
Nevada,49
Alabama,48
Texas,48
New Jersey,48
Florida,47
Hawaii,45
Georgia,45
