Category: All categories

Region,Dependent: (2011)
Maryland,100
Mississippi,98
Hawaii,97
Connecticut,97
Kansas,94
North Dakota,94
Delaware,93
Louisiana,93
Kentucky,93
Oklahoma,91
South Carolina,91
Alabama,90
Virginia,89
Arkansas,89
Wisconsin,89
Indiana,88
West Virginia,88
Montana,87
Iowa,87
Missouri,87
Tennessee,86
Nebraska,86
Idaho,85
Florida,84
Rhode Island,83
New Mexico,83
Oregon,82
North Carolina,82
Arizona,81
Vermont,81
Utah,81
Maine,80
Pennsylvania,79
South Dakota,79
Georgia,79
New Hampshire,78
Texas,78
Massachusetts,77
California,76
Illinois,76
Minnesota,76
New Jersey,76
Wyoming,74
District of Columbia,74
Ohio,74
Nevada,74
Colorado,74
Michigan,73
Alaska,71
New York,69
Washington,66
