Category: All categories

Region,Dependent: (2019)
Virginia,100
District of Columbia,94
South Carolina,93
Indiana,89
Massachusetts,87
Maryland,85
California,83
Georgia,82
Hawaii,81
North Carolina,80
Alaska,80
South Dakota,79
Arizona,79
Iowa,79
Delaware,79
Arkansas,78
North Dakota,78
Pennsylvania,77
Alabama,77
Florida,77
Mississippi,76
New Jersey,76
Illinois,76
Rhode Island,75
Nebraska,74
Kansas,74
Ohio,73
Missouri,73
Minnesota,73
Oklahoma,73
West Virginia,73
Texas,72
Michigan,72
Connecticut,72
New Mexico,71
Vermont,69
Tennessee,68
Idaho,67
Wyoming,67
Maine,67
Washington,67
Louisiana,66
Kentucky,66
New York,65
Colorado,65
Utah,62
New Hampshire,62
Montana,60
Wisconsin,60
Nevada,59
Oregon,57
