Category: All categories

Region,Dependent: (2017)
South Carolina,100
Indiana,97
Maryland,96
Virginia,94
Mississippi,89
Arkansas,88
Arizona,87
California,87
South Dakota,86
Hawaii,85
Florida,84
Missouri,84
New Mexico,83
Georgia,82
Pennsylvania,82
Connecticut,82
Iowa,82
North Dakota,81
Minnesota,81
Nebraska,81
Illinois,80
Oklahoma,80
North Carolina,79
Delaware,79
West Virginia,78
Ohio,78
Alabama,76
Massachusetts,76
Texas,76
Wisconsin,75
New Jersey,74
Wyoming,74
New York,74
Kentucky,73
Kansas,72
Michigan,72
Alaska,72
Utah,72
Rhode Island,72
Colorado,71
Idaho,71
Maine,71
Vermont,71
Louisiana,71
Tennessee,70
Washington,68
District of Columbia,67
New Hampshire,67
Nevada,64
Montana,63
Oregon,58
