Category: All categories

Region,Dependent: (2020)
Virginia,100
Indiana,90
South Carolina,89
Alabama,88
Maryland,88
Hawaii,87
Texas,86
Florida,85
California,85
Oklahoma,85
North Carolina,85
Louisiana,83
Arizona,82
Connecticut,82
West Virginia,81
Illinois,81
Arkansas,80
Mississippi,79
North Dakota,79
District of Columbia,79
Kentucky,79
Georgia,78
New Jersey,77
Pennsylvania,76
Ohio,76
Missouri,75
Iowa,75
Michigan,75
Tennessee,74
Minnesota,73
Rhode Island,72
Massachusetts,72
New Mexico,71
Kansas,71
Delaware,70
South Dakota,70
Colorado,70
Idaho,69
Vermont,68
Nebraska,68
New York,68
New Hampshire,68
Washington,67
Wisconsin,67
Oregon,66
Alaska,66
Maine,63
Utah,63
Wyoming,62
Nevada,62
Montana,60
