Category: All categories

Region,Dependent: (2013)
Arkansas,100
Virginia,99
Maryland,99
New Mexico,98
Alabama,97
Iowa,95
West Virginia,94
South Carolina,94
Idaho,94
Rhode Island,92
Delaware,92
Hawaii,92
North Carolina,91
Maine,91
North Dakota,91
Ohio,90
Pennsylvania,89
Nebraska,89
Mississippi,88
District of Columbia,88
Connecticut,88
Kentucky,87
New Hampshire,87
Kansas,86
Louisiana,86
New Jersey,86
Indiana,85
Wyoming,85
Georgia,85
Utah,85
Michigan,85
South Dakota,84
Massachusetts,83
Illinois,83
California,83
Alaska,82
Florida,81
Texas,80
Oklahoma,80
Arizona,78
Wisconsin,77
New York,76
Vermont,75
Tennessee,74
Nevada,73
Missouri,72
Colorado,71
Minnesota,67
Montana,67
Washington,65
Oregon,49
