Category: All categories

Region,Dependent: (2016)
Maryland,100
Virginia,100
Mississippi,99
Hawaii,97
Indiana,93
South Carolina,93
South Dakota,91
Iowa,89
California,87
Arkansas,86
New Mexico,86
North Dakota,86
Florida,86
Idaho,85
North Carolina,85
Pennsylvania,85
Missouri,84
Arizona,84
Alabama,83
Oklahoma,83
Michigan,83
Illinois,82
Delaware,82
Rhode Island,82
Georgia,81
Nebraska,81
New Hampshire,81
Connecticut,80
Minnesota,79
New Jersey,79
Tennessee,78
Kansas,77
Ohio,77
Vermont,77
West Virginia,77
Massachusetts,76
Texas,76
New York,75
Wisconsin,75
Alaska,74
Louisiana,74
Utah,73
Kentucky,73
Maine,73
Colorado,71
Montana,68
Nevada,67
Washington,65
District of Columbia,64
Oregon,61
Wyoming,60
