Category: All categories

Region,Dependent: (2005)
South Dakota,100
Hawaii,79
Delaware,74
District of Columbia,73
Maryland,72
Virginia,72
Montana,71
Connecticut,69
North Dakota,69
Rhode Island,68
Massachusetts,67
Alaska,66
Arkansas,66
South Carolina,66
Indiana,66
Missouri,64
Kansas,63
Texas,62
Pennsylvania,61
Illinois,60
Georgia,60
Wisconsin,60
New Mexico,60
Mississippi,60
Minnesota,60
Arizona,59
Michigan,58
Nevada,57
Alabama,57
Iowa,56
Maine,56
North Carolina,55
New Jersey,55
New Hampshire,55
Louisiana,55
Ohio,54
California,54
Tennessee,53
Vermont,53
West Virginia,53
New York,52
Washington,50
Florida,50
Colorado,50
Oklahoma,49
Idaho,48
Kentucky,48
Oregon,47
Nebraska,46
Wyoming,31
Utah,30
