Category: All categories

Region,parents hate me: (2013)
South Dakota,
Montana,
Hawaii,
Arkansas,
Alaska,
Iowa,
Alabama,
Wisconsin,
South Carolina,
Connecticut,
New Jersey,
New Mexico,
Massachusetts,
Ohio,
Maryland,
Pennsylvania,
Tennessee,
North Carolina,
Nebraska,
Texas,100
Arizona,
California,83
Louisiana,
Georgia,
New York,83
Florida,83
Missouri,
Utah,
Indiana,
Illinois,83
Colorado,
Virginia,
Kentucky,
Kansas,
Michigan,
Washington,
District of Columbia,
Minnesota,
Mississippi,
Oregon,
Oklahoma,
Delaware,
Idaho,
Maine,
North Dakota,
New Hampshire,
Nevada,
Rhode Island,
Vermont,
West Virginia,
Wyoming,
