Category: All categories

Region,parents hate me: (2014)
Maine,
Utah,
Nevada,
Alaska,
Montana,
West Virginia,
Maryland,
Kentucky,
Minnesota,
Louisiana,
Iowa,
Florida,100
Washington,
New Jersey,
North Carolina,
Illinois,83
Georgia,
New Hampshire,
Massachusetts,
California,83
Tennessee,
Pennsylvania,
Ohio,
Indiana,
Connecticut,
Missouri,
Texas,66
Idaho,
Virginia,
Mississippi,
Michigan,
New York,66
South Carolina,
Colorado,
Wisconsin,
District of Columbia,
Arkansas,
Hawaii,
Kansas,
Arizona,
Alabama,
Oregon,
Delaware,
North Dakota,
Nebraska,
New Mexico,
Oklahoma,
Rhode Island,
South Dakota,
Vermont,
Wyoming,
