Category: All categories

Region,parents hate me: (2011)
South Dakota,
New Hampshire,
Vermont,
West Virginia,
North Dakota,
Idaho,
Nevada,
Iowa,
Connecticut,
Alabama,
New Jersey,
Nebraska,
North Carolina,
Colorado,
Ohio,
South Carolina,
Oklahoma,
Mississippi,
Indiana,
Virginia,
Washington,
Kansas,
Pennsylvania,
Massachusetts,
Arkansas,
Utah,
New York,100
Illinois,100
Texas,100
Maryland,
California,100
Louisiana,
Tennessee,
Arizona,
Minnesota,
District of Columbia,
Georgia,
Florida,50
Michigan,
Alaska,
Delaware,
Hawaii,
Kentucky,
Maine,
Missouri,
Montana,
New Mexico,
Oregon,
Rhode Island,
Wisconsin,
Wyoming,
