Category: All categories

Region,parents hate me: (2008)
West Virginia,
Kentucky,
Hawaii,
Kansas,
Iowa,
Louisiana,
Tennessee,
Connecticut,
Indiana,
Michigan,
Pennsylvania,
Washington,
Florida,100
New York,50
California,50
Virginia,
Texas,<1
Alaska,
Alabama,
Arkansas,
Arizona,
Colorado,
District of Columbia,
Delaware,
Georgia,
Idaho,
Illinois,
Massachusetts,
Maryland,
Maine,
Minnesota,
Missouri,
Mississippi,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
New Jersey,
New Mexico,
Nevada,
Ohio,
Oklahoma,
Oregon,
Rhode Island,
South Carolina,
South Dakota,
Utah,
Vermont,
Wisconsin,
Wyoming,
