Category: All categories

Region,parents hate me: (2017)
South Dakota,
West Virginia,
Delaware,
Iowa,
Montana,
Nebraska,
Connecticut,
Kansas,
Nevada,
New Jersey,
Louisiana,
Georgia,
Virginia,
Maryland,
Michigan,
New Hampshire,
District of Columbia,
Washington,
Colorado,
Indiana,
Florida,100
California,100
Mississippi,
North Carolina,
New York,100
Wisconsin,
Texas,100
Illinois,100
Ohio,
Tennessee,
Massachusetts,
South Carolina,
Arizona,
Oklahoma,
Minnesota,
Utah,
Oregon,
Pennsylvania,
Missouri,
Arkansas,
Alaska,
Alabama,
Hawaii,
Idaho,
Kentucky,
Maine,
North Dakota,
New Mexico,
Rhode Island,
Vermont,
Wyoming,
