Category: All categories

Region,weed: (2007)
Montana,100
Rhode Island,84
Wyoming,83
Louisiana,80
New Mexico,78
Vermont,77
Delaware,76
North Dakota,76
New Hampshire,75
West Virginia,74
Arkansas,73
Maine,72
Connecticut,70
Florida,70
Idaho,69
Alaska,69
Mississippi,69
Kentucky,68
South Dakota,67
Kansas,67
Oklahoma,65
Oregon,65
Pennsylvania,65
Iowa,64
South Carolina,64
Nevada,64
Michigan,63
Texas,62
Nebraska,62
New Jersey,61
Wisconsin,60
Indiana,60
Ohio,60
Tennessee,60
Illinois,59
Hawaii,58
New York,58
Colorado,58
North Carolina,58
Georgia,57
Washington,57
Massachusetts,56
California,56
Alabama,55
Arizona,55
Minnesota,55
Missouri,55
Utah,53
Maryland,52
Virginia,49
District of Columbia,47
