Category: All categories

Region,weed: (2009)
Rhode Island,100
Montana,90
Connecticut,89
Vermont,86
Wyoming,86
New Hampshire,86
Maine,85
West Virginia,84
Ohio,83
Pennsylvania,82
Mississippi,82
Arkansas,81
Washington,81
Florida,80
Michigan,79
North Dakota,79
Louisiana,79
Delaware,79
Colorado,77
Hawaii,77
North Carolina,74
Idaho,74
Nevada,74
South Dakota,73
Texas,73
New Mexico,73
Massachusetts,73
Kansas,72
Alaska,71
Oregon,71
New Jersey,71
Wisconsin,70
Indiana,70
Nebraska,70
New York,70
South Carolina,69
Missouri,68
Alabama,68
Illinois,68
Kentucky,67
Oklahoma,66
Arizona,66
Georgia,65
Tennessee,65
Minnesota,64
Maryland,62
Iowa,62
District of Columbia,59
California,56
Utah,53
Virginia,39
