Category: All categories

Region,weed: (2014)
Colorado,100
Louisiana,93
Washington,93
West Virginia,92
Nevada,91
Georgia,91
Kansas,89
Oklahoma,88
Michigan,88
Kentucky,88
New Mexico,86
Mississippi,86
South Carolina,85
North Carolina,85
Texas,85
Rhode Island,85
Arkansas,84
Florida,83
Missouri,83
Massachusetts,82
Arizona,82
Alabama,81
Tennessee,81
Pennsylvania,78
Wyoming,77
Ohio,77
Maine,77
Indiana,76
California,76
Illinois,76
Idaho,75
Nebraska,74
Connecticut,73
Minnesota,73
New York,72
Alaska,72
New Jersey,71
Iowa,71
Montana,71
New Hampshire,71
Wisconsin,70
Maryland,68
Delaware,68
Hawaii,68
District of Columbia,68
Vermont,66
North Dakota,64
Virginia,64
Utah,62
South Dakota,62
Oregon,52
