Category: All categories

Region,weed: (2015)
South Carolina,100
Washington,98
Colorado,91
Michigan,89
Georgia,89
West Virginia,88
New Mexico,86
Louisiana,85
District of Columbia,84
Kentucky,84
Nevada,84
North Carolina,83
Mississippi,83
Arkansas,82
Idaho,82
Oklahoma,81
Ohio,80
Wyoming,79
Tennessee,79
Alabama,78
Indiana,78
Rhode Island,78
Illinois,78
Nebraska,78
Texas,77
Missouri,76
California,76
Alaska,76
Maine,75
Pennsylvania,75
Massachusetts,75
Oregon,75
Wisconsin,75
Arizona,74
Hawaii,73
New York,73
Florida,70
Connecticut,70
Montana,70
Maryland,68
Minnesota,68
Delaware,67
Iowa,67
Vermont,66
New Hampshire,65
New Jersey,64
Kansas,63
North Dakota,61
Utah,60
South Dakota,59
Virginia,48
