Category: All categories

Region,weed: (2013)
Louisiana,100
Washington,95
Michigan,93
Colorado,93
West Virginia,92
Kentucky,91
Florida,91
Rhode Island,91
Mississippi,91
Pennsylvania,90
Illinois,89
California,87
Oklahoma,87
Kansas,87
Connecticut,86
Georgia,86
Texas,86
Nevada,86
South Carolina,85
Tennessee,85
Arizona,84
New Mexico,84
Missouri,84
Indiana,83
Massachusetts,82
North Carolina,81
Minnesota,80
Maine,80
New York,80
Ohio,78
Maryland,78
Alabama,78
Virginia,78
New Jersey,76
Wyoming,75
Vermont,74
Arkansas,74
Nebraska,73
Wisconsin,72
Delaware,72
New Hampshire,70
Montana,68
Idaho,68
Utah,68
Iowa,66
South Dakota,66
District of Columbia,66
Alaska,65
North Dakota,65
Hawaii,60
Oregon,53
