Category: All categories

Region,weed: (2019)
Oklahoma,100
Nevada,83
Vermont,78
Michigan,74
Oregon,74
Alaska,72
Washington,71
West Virginia,71
Massachusetts,70
Colorado,69
Louisiana,69
California,67
New Mexico,67
Maine,67
Georgia,66
Texas,66
Mississippi,66
Indiana,66
Kentucky,65
Illinois,65
North Carolina,64
Tennessee,63
Arkansas,63
Delaware,63
Maryland,62
Missouri,62
Pennsylvania,62
Ohio,62
Connecticut,61
Rhode Island,60
Alabama,60
Montana,59
South Carolina,57
District of Columbia,57
Idaho,57
Iowa,56
South Dakota,56
Arizona,56
Kansas,56
Wisconsin,56
Virginia,55
Florida,54
New Hampshire,54
Nebraska,53
New Jersey,53
New York,52
Minnesota,51
Wyoming,51
Hawaii,48
Utah,48
North Dakota,46
