Category: All categories

Region,weed: (2012)
Louisiana,100
California,98
Michigan,95
Rhode Island,94
Florida,89
Texas,88
Washington,87
Pennsylvania,86
Mississippi,86
Georgia,85
South Carolina,85
Ohio,84
Illinois,84
Kansas,83
Oregon,83
Massachusetts,83
Kentucky,83
Connecticut,82
West Virginia,82
Missouri,82
North Carolina,81
Maryland,80
Vermont,80
New Jersey,80
Indiana,80
Arkansas,79
Delaware,79
Maine,77
New Hampshire,76
Alabama,76
Tennessee,76
District of Columbia,76
Minnesota,76
Arizona,75
New York,75
Nevada,75
Oklahoma,75
Virginia,74
New Mexico,74
Colorado,73
North Dakota,73
Wisconsin,73
Montana,72
Nebraska,72
Wyoming,71
Alaska,70
Iowa,69
South Dakota,67
Utah,61
Hawaii,60
Idaho,60
