Category: All categories

Region,weed: (2021)
Oklahoma,100
Michigan,94
District of Columbia,91
Maine,86
Virginia,84
Nevada,83
Arkansas,82
Vermont,82
Washington,81
Alaska,81
New Mexico,81
Louisiana,79
Illinois,79
Connecticut,79
Colorado,78
Oregon,78
Georgia,78
California,76
Tennessee,76
Arizona,75
Ohio,74
Missouri,74
Montana,74
West Virginia,74
Pennsylvania,73
North Carolina,73
Mississippi,71
Kentucky,71
Indiana,71
Delaware,71
Kansas,71
New Jersey,71
Maryland,69
South Carolina,69
Massachusetts,68
New Hampshire,68
Rhode Island,67
Alabama,67
Iowa,67
New York,66
Texas,65
Nebraska,64
North Dakota,64
Wisconsin,64
Florida,63
Minnesota,63
Idaho,62
Wyoming,59
Utah,58
South Dakota,57
Hawaii,55
