Category: All categories

Region,School stress: (2020)
Idaho,100
Rhode Island,94
New Jersey,91
Iowa,90
Indiana,89
Maryland,85
New Hampshire,84
Maine,84
Virginia,83
Connecticut,83
South Carolina,82
Georgia,79
Wisconsin,77
Arkansas,76
Kansas,75
New Mexico,75
Ohio,74
Illinois,74
Michigan,72
California,72
Pennsylvania,71
Washington,71
Alabama,71
Arizona,70
Utah,70
Massachusetts,70
Delaware,69
North Carolina,69
Oklahoma,69
Nevada,69
New York,68
Texas,68
Minnesota,66
Kentucky,66
Florida,66
Missouri,64
District of Columbia,64
Oregon,64
Louisiana,62
Colorado,62
West Virginia,61
Mississippi,60
Tennessee,56
Hawaii,55
Nebraska,40
Alaska,
Montana,
South Dakota,
North Dakota,
Vermont,
Wyoming,
