Category: All categories

Region,alcohol: (2004)
North Dakota,100
South Dakota,86
Delaware,79
New Mexico,78
Rhode Island,77
Alaska,77
Indiana,73
Wyoming,73
Vermont,72
Nebraska,71
Mississippi,70
Iowa,69
Maine,69
Idaho,69
Kentucky,68
Montana,68
Wisconsin,66
New Hampshire,66
Oregon,65
Kansas,64
West Virginia,63
Colorado,62
Minnesota,62
Connecticut,62
Arkansas,60
Michigan,60
Pennsylvania,59
Utah,59
Maryland,59
North Carolina,58
Hawaii,58
South Carolina,58
Ohio,58
Missouri,56
California,56
Oklahoma,55
Washington,54
District of Columbia,54
Texas,54
Louisiana,54
Arizona,53
Tennessee,53
Alabama,52
Massachusetts,52
Virginia,51
New Jersey,51
New York,50
Georgia,48
Illinois,48
Nevada,47
Florida,46
