Category: All categories

Region,alcohol: (2014)
New Mexico,100
New Hampshire,95
Missouri,95
Washington,94
Indiana,93
Hawaii,93
Maine,93
Colorado,92
Massachusetts,92
Pennsylvania,92
Connecticut,91
Rhode Island,91
Michigan,91
Oklahoma,91
Alaska,90
Nebraska,90
Nevada,90
Kentucky,90
Ohio,89
Wisconsin,88
Florida,88
North Dakota,88
Iowa,87
South Dakota,87
Minnesota,86
West Virginia,86
District of Columbia,86
Wyoming,85
Texas,85
Idaho,84
Arkansas,84
California,84
Illinois,83
Tennessee,83
South Carolina,83
Montana,83
Maryland,83
Georgia,83
Arizona,82
Vermont,82
North Carolina,81
Louisiana,81
Kansas,81
Mississippi,80
Alabama,80
Delaware,80
New York,79
New Jersey,76
Utah,71
Virginia,66
Oregon,57
