Category: All categories

Region,alcohol: (2009)
Delaware,100
North Dakota,96
Vermont,95
Pennsylvania,94
Alaska,93
Indiana,93
South Dakota,92
New Hampshire,91
Wisconsin,91
West Virginia,90
Wyoming,89
Idaho,89
Maine,87
Massachusetts,87
Oregon,87
Rhode Island,86
New Mexico,85
Montana,84
Michigan,84
Connecticut,83
Washington,82
Maryland,82
Iowa,82
Ohio,81
Colorado,81
Minnesota,81
Nebraska,80
New Jersey,79
Missouri,78
New York,78
Arizona,77
Arkansas,77
North Carolina,77
Illinois,77
Mississippi,76
Florida,76
Kentucky,76
Hawaii,73
District of Columbia,73
Kansas,72
South Carolina,70
Louisiana,69
Texas,68
Georgia,67
Oklahoma,66
Nevada,65
Alabama,64
Virginia,62
Tennessee,61
Utah,60
California,57
