Category: All categories

Region,alcohol: (2018)
Alaska,100
New Mexico,94
Washington,93
West Virginia,92
North Dakota,91
Oregon,90
Pennsylvania,90
Minnesota,89
Indiana,89
Michigan,88
South Dakota,88
Maine,88
Wisconsin,87
Vermont,85
Hawaii,85
Colorado,85
Nebraska,85
Kansas,84
Iowa,84
Kentucky,83
Illinois,83
Arizona,83
Idaho,82
Massachusetts,82
Missouri,82
Delaware,82
New Hampshire,81
Arkansas,81
North Carolina,81
Wyoming,80
Montana,80
Florida,80
Texas,79
Louisiana,79
Georgia,79
Ohio,79
Rhode Island,79
Connecticut,78
Virginia,78
Oklahoma,78
Alabama,77
Nevada,77
New York,77
Maryland,77
Utah,77
Tennessee,76
New Jersey,76
California,75
South Carolina,72
District of Columbia,72
Mississippi,66
