Category: All categories

Region,alcohol: (2020)
Kentucky,100
Kansas,98
New Mexico,97
Hawaii,96
Alaska,95
Oregon,95
Massachusetts,95
North Dakota,94
Colorado,94
New Hampshire,94
Indiana,93
Connecticut,92
Pennsylvania,91
Idaho,91
Illinois,91
Rhode Island,90
Nebraska,90
Arizona,89
Iowa,89
Washington,88
Delaware,88
Montana,88
Missouri,88
Wisconsin,87
Maine,87
Vermont,87
Nevada,87
South Dakota,86
Ohio,86
Virginia,86
Maryland,85
Michigan,85
Florida,85
Arkansas,85
Minnesota,84
Wyoming,83
Georgia,83
Texas,82
West Virginia,82
California,82
Louisiana,82
North Carolina,82
Utah,81
Alabama,80
South Carolina,80
New York,79
New Jersey,79
Tennessee,79
District of Columbia,74
Mississippi,74
Oklahoma,74
