Category: All categories

Region,alcohol: (2011)
Massachusetts,100
Minnesota,97
North Dakota,96
Indiana,93
Pennsylvania,93
Vermont,93
New Hampshire,92
District of Columbia,92
Washington,92
South Dakota,92
Oregon,90
Nebraska,89
Georgia,88
Illinois,88
Wisconsin,86
Maryland,85
Kentucky,85
Montana,85
Alaska,84
Delaware,83
Michigan,83
Connecticut,83
New Mexico,82
Iowa,82
Missouri,82
North Carolina,82
Ohio,82
Arizona,82
Florida,81
California,81
Colorado,80
Wyoming,80
Virginia,79
Rhode Island,78
Kansas,77
New York,77
Maine,76
Texas,76
South Carolina,75
West Virginia,75
Oklahoma,75
Nevada,74
Louisiana,73
New Jersey,73
Alabama,73
Tennessee,71
Idaho,69
Utah,69
Arkansas,63
Mississippi,63
Hawaii,63
