Category: All categories

Region,single: (2013)
New Mexico,100
Vermont,99
West Virginia,99
South Carolina,98
Indiana,95
North Carolina,95
Idaho,95
Colorado,95
Louisiana,94
New Jersey,93
Arkansas,93
Virginia,93
Utah,92
New Hampshire,92
Wyoming,92
Maryland,92
Pennsylvania,90
Michigan,90
Massachusetts,90
Kansas,90
California,89
Missouri,89
Nebraska,89
Wisconsin,89
Arizona,88
Minnesota,88
Alabama,87
Washington,87
Texas,87
Iowa,86
Kentucky,86
Georgia,86
Delaware,86
Tennessee,86
Rhode Island,86
Oklahoma,85
Florida,85
Maine,85
North Dakota,84
Connecticut,84
South Dakota,83
District of Columbia,83
New York,83
Mississippi,83
Illinois,82
Alaska,81
Ohio,81
Hawaii,81
Montana,79
Nevada,77
Oregon,69
