Category: All categories

Region,single: (2009)
Delaware,100
Massachusetts,98
North Carolina,96
Colorado,93
Maryland,93
Pennsylvania,92
Illinois,91
Vermont,90
New York,90
Connecticut,90
Alaska,89
Michigan,89
New Mexico,89
West Virginia,89
Tennessee,88
Georgia,88
Arkansas,87
Hawaii,87
Mississippi,87
District of Columbia,86
Indiana,86
Missouri,86
Ohio,86
Florida,86
North Dakota,85
Minnesota,85
Alabama,85
New Jersey,85
Oregon,84
Arizona,84
Texas,84
New Hampshire,83
Idaho,83
Rhode Island,82
Utah,82
Montana,82
Washington,81
Kansas,81
South Carolina,81
Wisconsin,81
Kentucky,81
Wyoming,81
Louisiana,79
Nebraska,79
South Dakota,79
Maine,77
Oklahoma,77
Iowa,76
Nevada,74
California,73
Virginia,57
