Category: All categories

Region,single: (2021)
Vermont,100
New York,96
Washington,92
Indiana,89
Arkansas,88
Virginia,87
Massachusetts,86
Maryland,86
Louisiana,85
Oklahoma,85
Kentucky,84
Minnesota,84
Idaho,84
District of Columbia,84
Utah,84
North Carolina,84
South Carolina,83
California,83
Mississippi,82
Pennsylvania,82
Wisconsin,82
Alabama,82
New Hampshire,82
Oregon,81
Arizona,81
Montana,81
Ohio,81
Missouri,81
Tennessee,81
Kansas,80
New Mexico,80
Nebraska,80
Colorado,80
Iowa,80
Florida,80
Rhode Island,80
Connecticut,79
Illinois,79
Texas,79
North Dakota,78
Hawaii,78
Delaware,78
West Virginia,78
Georgia,78
Michigan,77
Nevada,77
New Jersey,76
Maine,74
Alaska,73
Wyoming,72
South Dakota,67
