Category: All categories

Region,single: (2020)
Vermont,100
Oklahoma,96
New Hampshire,92
Virginia,92
Arkansas,92
Arizona,91
Minnesota,90
Massachusetts,87
Oregon,87
North Dakota,87
Missouri,87
California,87
Mississippi,86
Utah,86
Nebraska,86
North Carolina,86
Montana,86
Colorado,86
West Virginia,86
New Mexico,86
Louisiana,85
Idaho,85
Wisconsin,85
Maryland,84
Alabama,84
District of Columbia,84
Hawaii,84
South Dakota,84
Kansas,83
South Carolina,83
Indiana,83
Connecticut,83
Kentucky,83
Texas,83
Georgia,83
Iowa,82
Illinois,82
Florida,82
Pennsylvania,82
Nevada,81
Washington,81
Michigan,81
Maine,81
Rhode Island,80
Delaware,80
Ohio,79
Alaska,79
New Jersey,78
New York,77
Tennessee,76
Wyoming,76
